text,author_name,author_username,timestamp,relative_time,tweet_url,replies,reposts,likes,views,team_name
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Back to work. \n\n 4-1  [46] #CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T20:09:59.000Z,1m,https://x.com/ChelseaFC/status/1981090681050615917,55,40,361,3.5K,ChelseaFC
"('Four goals in the first-half! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T19:52:34.000Z,18m,https://x.com/ChelseaFC/status/1981086295335092478,523,1.5K,7.5K,120K,ChelseaFC
"('Estevao steps up... and scores! \n\n 4-1  [45] #CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T19:52:05.000Z,19m,https://x.com/ChelseaFC/status/1981086172806815774,359,995,7.2K,123K,ChelseaFC
"('Pumped! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:57:40.000Z,1h,https://x.com/ChelseaFC/status/1981072479440248985,58,245,2.8K,62K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('Living his dream.  \n\nCongratulations to our captain on reaching a huge milestone in his Chelsea career. ',)",Chelsea FC,@ChelseaFC,2025-10-22T18:56:20.000Z,1h,https://x.com/ChelseaFC/status/1981072143388725388,209,2.9K,19K,176K,ChelseaFC
"('Ready for kick-off. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:50:21.000Z,1h,https://x.com/ChelseaFC/status/1981070640825455029,103,322,3.3K,70K,ChelseaFC
"('The Blues are here! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:04:24.000Z,2h,https://x.com/ChelseaFC/status/1981059074369159604,165,946,7.8K,146K,ChelseaFC
"('Our new Principal Partner for 25/26. \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T18:01:42.000Z,2h,https://x.com/ChelseaFC/status/1981058395340722377,125,613,6.6K,157K,ChelseaFC
"('x',)",Liverpool FC,@LFC,2025-10-22T20:09:26.000Z,2m,https://x.com/LFC/status/1981090542478819363,34,102,852,16K,LFC
"('46’ - A change at the break as Chiesa comes on for Isak \n\n[1-3] #UCL',)",Liverpool FC,@LFC,2025-10-22T20:06:28.000Z,5m,https://x.com/LFC/status/1981089793510379872,110,138,632,44K,LFC
"('46’ - Back out for the second half \n\n[1-3] #UCL',)",Liverpool FC,@LFC,2025-10-22T20:05:47.000Z,6m,https://x.com/LFC/status/1981089621883941174,40,62,529,31K,LFC
"('Love it, Ibou ',)",Liverpool FC,@LFC,2025-10-22T20:03:17.000Z,8m,https://x.com/LFC/status/1981088993660850416,48,129,1.4K,45K,LFC
"(""35' - A brilliant run and finish from Ekitike after an excellent ball forward from Robertson \n\n[1-1] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:36:14.000Z,36m,https://x.com/LFC/status/1981082185487585537,156,405,4.3K,269K,LFC
"('HUGO FIRES US LEVEL!!!',)",Liverpool FC,@LFC,2025-10-22T19:35:09.000Z,37m,https://x.com/LFC/status/1981081913684090906,232,1.3K,6.5K,390K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
"(""26' - Goal for Frankfurt. Rasmus Kristensen.\n\n[1-0] #UCL"",)",Liverpool FC,@LFC,2025-10-22T19:25:59.000Z,46m,https://x.com/LFC/status/1981079605327826954,954,585,2.5K,307K,LFC
"('19’ - We’re forced into an early change as Bradley replaces Frimpong \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:19:09.000Z,53m,https://x.com/LFC/status/1981077887840104585,155,132,1.3K,166K,LFC
"('Come on you Reds ',)",Liverpool FC,@LFC,2025-10-22T19:06:09.000Z,1h,https://x.com/LFC/status/1981074616237117515,79,343,3.4K,127K,LFC
"('1’ - Up and running at Deutsche Bank Park \n\n[0-0] #UCL',)",Liverpool FC,@LFC,2025-10-22T19:00:22.000Z,1h,https://x.com/LFC/status/1981073161195307216,51,141,1.1K,102K,LFC
"('Ready to go ',)",Liverpool FC,@LFC,2025-10-22T18:56:00.000Z,1h,https://x.com/LFC/status/1981072059817218532,45,139,1.4K,74K,LFC
